Retail sales of electricity monthly
https://www.eia.gov/electricity/data/browser/#/topic/5?agg=0,1&geo=vvvvvvvvvvvvo&endsec=vg&linechart=ELEC.SALES.TX-ALL.M~ELEC.SALES.TX-RES.M~ELEC.SALES.TX-COM.M~ELEC.SALES.TX-IND.M~ELEC.SALES.IL-ALL.M&columnchart=ELEC.SALES.TX-ALL.M~ELEC.SALES.TX-RES.M~ELEC.SALES.TX-COM.M~ELEC.SALES.TX-IND.M&map=ELEC.SALES.US-ALL.M&freq=M&start=200101&end=202101&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=
10:09:42 GMT-0500 (Central Daylight Time)
Data source: U.S. Energy Information Administration
Month,Illinois all sectors GWh
Jun 2010,12512.3697
May 2010,10869.94091
Apr 2010,10221.08225
Mar 2010,10816.71019
Feb 2010,11758.33175
Jan 2010,13040.23905
Dec 2009,12244.43093
Nov 2009,10421.96674
Oct 2009,10632.37221
Sep 2009,11299.95429
Aug 2009,12624.44274
Jul 2009,12148.48865
Jun 2009,11937.60334
May 2009,10286.78252
Apr 2009,10155.01541
Mar 2009,11137.03816
Feb 2009,10830.38169
Jan 2009,12969.98932
Dec 2008,12665.2019
Nov 2008,11025.167
Oct 2008,11337.02148
Sep 2008,11692.18909
Aug 2008,13391.26499
Jul 2008,14028.83773
Jun 2008,12545.02494
May 2008,10700.55198
Apr 2008,10592.05493
Mar 2008,11570.64107
Feb 2008,12198.5367
Jan 2008,12873.42219
Dec 2007,12148.12694
Nov 2007,11233.7555
Oct 2007,11243.72831
Sep 2007,12249.86185
Aug 2007,14587.2435
Jul 2007,13677.72157
Jun 2007,12873.83126
May 2007,11681.50302
Apr 2007,11001.13637
Mar 2007,11533.73685
Feb 2007,11539.28751
Jan 2007,12285.21832
Dec 2006,11850.93203
Nov 2006,10807.29556
Oct 2006,11093.53333
Sep 2006,11131.35167
Aug 2006,14174.55083
Jul 2006,14524.13275
Jun 2006,12059.79348
May 2006,10983.62793
Apr 2006,10578.03856
Mar 2006,11686.95106
Feb 2006,11359.15393
Jan 2006,12198.44987
Dec 2005,12617.76068
Nov 2005,10681.08011
Oct 2005,11243.07528
Sep 2005,12518.96747
Aug 2005,14515.85546
Jul 2005,14439.04033
Jun 2005,13479.20816
May 2005,10645.01656
Apr 2005,10185.59073
Mar 2005,11558.13721
Feb 2005,10898.18696
Jan 2005,12204.29603
Dec 2004,11976.3188
Nov 2004,10943.16545
Oct 2004,10580.33564
Sep 2004,12095.78361
Aug 2004,12389.74275
Jul 2004,13156.93536
Jun 2004,12031.32602
May 2004,11102.80024
Apr 2004,10212.42229
Mar 2004,11023.30203
Feb 2004,11479.73413
Jan 2004,12262.08968
Dec 2003,11414.18158
Nov 2003,10223.60798
Oct 2003,10323.69912
Sep 2003,11265.77293
Aug 2003,13976.5781
Jul 2003,13175.39983
Jun 2003,11033.00179
May 2003,10241.93954
Apr 2003,10130.13152
Mar 2003,11045.90475
Feb 2003,11091.92926
Jan 2003,12325.7446
Dec 2002,11368.4814
Nov 2002,10486.89142
Oct 2002,10724.06563
Sep 2002,11757.47499
Aug 2002,13854.17804
Jul 2002,14435.01303
Jun 2002,12341.49327
May 2002,10383.02303
Apr 2002,10346.43644
Mar 2002,10752.02427
Feb 2002,10760.97292
Jan 2002,11237.25856
Dec 2001,10906.56918
Nov 2001,9966.28185
Oct 2001,10292.93571
Sep 2001,11198.585
Aug 2001,13895.24861
Jul 2001,13059.38017
Jun 2001,11618.08845
May 2001,10710.9487
Apr 2001,9619.05588
Mar 2001,10708.72933
Feb 2001,11675.16176
Jan 2001,12382.56439
