Net generation for all fuels (utility-scale) monthly
https://www.eia.gov/electricity/data/browser/#/topic/0?agg=1,0,2&fuel=g&geo=vvvvvvvvvvvvo&sec=o3g&linechart=ELEC.GEN.ALL-IL-99.M&columnchart=ELEC.GEN.ALL-NEW-99.M~ELEC.GEN.ALL-MAT-99.M~ELEC.GEN.ALL-ENC-99.M~ELEC.GEN.ALL-WNC-99.M~ELEC.GEN.ALL-SAT-99.M~ELEC.GEN.ALL-ESC-99.M~ELEC.GEN.ALL-MTN-99.M~ELEC.GEN.ALL-WSC-99.M~ELEC.GEN.ALL-PCN-99.M~ELEC.GEN.ALL-PCC-99.M&map=ELEC.GEN.ALL-US-99.M&freq=M&start=200101&end=202101&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=
10:12:22 GMT-0500 (Central Daylight Time)
Source: U.S. Energy Information Administration
Month,Illinois : all sectors GWh
Feb 2015,16106.02335
Jan 2015,17955.97148
Dec 2014,17945.7514
Nov 2014,17666.76236
Oct 2014,15824.59318
Sep 2014,15943.26771
Aug 2014,17751.72654
Jul 2014,17416.00273
Jun 2014,16766.27254
May 2014,14905.98355
Apr 2014,15270.61896
Mar 2014,17286.02102
Feb 2014,16249.70134
Jan 2014,19117.17665
Dec 2013,18380.39973
Nov 2013,16458.6754
Oct 2013,16352.26026
Sep 2013,16532.73185
Aug 2013,17891.14836
Jul 2013,18068.7969
Jun 2013,16568.81071
May 2013,15920.18884
Apr 2013,14925.38234
Mar 2013,17245.95494
Feb 2013,16388.80957
Jan 2013,18271.76059
Dec 2012,17599.3015
Nov 2012,16051.48653
Oct 2012,15415.754
Sep 2012,15088.80788
Aug 2012,17586.33748
Jul 2012,19103.04004
Jun 2012,17273.80522
May 2012,15830.47342
Apr 2012,14695.13285
Mar 2012,15253.78953
Feb 2012,15826.42078
Jan 2012,17841.01239
Dec 2011,16892.61381
Nov 2011,16432.64436
Oct 2011,15942.04599
Sep 2011,15774.87378
Aug 2011,18279.03214
Jul 2011,19258.6637
Jun 2011,17129.20908
May 2011,15053.20437
Apr 2011,14694.70155
Mar 2011,16496.27344
Feb 2011,15667.22087
Jan 2011,17879.24496
Dec 2010,18183.75409
Nov 2010,16314.60093
Oct 2010,16015.46802
Sep 2010,16222.19908
Aug 2010,18581.90098
Jul 2010,18950.3351
Jun 2010,17016.43214
May 2010,15479.91942
Apr 2010,14422.79784
Mar 2010,16641.27477
Feb 2010,15754.51207
Jan 2010,17768.6772
Dec 2009,18047.84795
Nov 2009,15669.723
Oct 2009,15305.44428
Sep 2009,15541.56143
Aug 2009,17251.55533
Jul 2009,17039.77798
Jun 2009,16374.72523
May 2009,15025.41804
Apr 2009,15160.04097
Mar 2009,15770.80924
Feb 2009,15165.91292
Jan 2009,17511.5409
Dec 2008,17314.06239
Nov 2008,16364.71945
Oct 2008,16246.44521
Sep 2008,16250.82761
Aug 2008,18244.63687
Jul 2008,18477.23036
Jun 2008,17228.3034
May 2008,14955.07597
Apr 2008,15039.34263
Mar 2008,16331.3071
Feb 2008,15950.66278
Jan 2008,17072.56381
Dec 2007,17230.95997
Nov 2007,15469.80906
Oct 2007,15906.36336
Sep 2007,16924.41228
Aug 2007,19287.31995
Jul 2007,18010.12501
Jun 2007,16846.38426
May 2007,15079.63054
Apr 2007,14415.58438
Mar 2007,16616.22121
Feb 2007,16348.62195
Jan 2007,18125.24923
Dec 2006,16853.91212
Nov 2006,15681.99267
Oct 2006,16021.7819
Sep 2006,15495.6425
Aug 2006,18510.92946
Jul 2006,18592.25652
Jun 2006,16268.44703
May 2006,15172.14996
Apr 2006,13552.86704
Mar 2006,15436.90446
Feb 2006,14443.21848
Jan 2006,16396.8559
Dec 2005,17870.96192
Nov 2005,14908.5921
Oct 2005,15712.85395
Sep 2005,16435.42559
Aug 2005,18449.65951
Jul 2005,18365.25245
Jun 2005,17407.31644
May 2005,14775.34354
Apr 2005,14066.66319
Mar 2005,14589.63305
Feb 2005,14138.48132
Jan 2005,17399.96278
Dec 2004,17164.63846
Nov 2004,15037.47888
Oct 2004,15268.87001
Sep 2004,16164.94275
Aug 2004,16987.29501
Jul 2004,17500.40143
Jun 2004,16386.7291
May 2004,15881.00119
Apr 2004,14179.22605
Mar 2004,15167.55286
Feb 2004,15286.4853
Jan 2004,16933.15746
Dec 2003,16224.578
Nov 2003,14617.684
Oct 2003,14667.481
Sep 2003,15629.856
Aug 2003,18652.238
Jul 2003,17593.204
Jun 2003,15214.247
May 2003,14340.225
Apr 2003,14029.722
Mar 2003,15647.333
Feb 2003,15206.502
Jan 2003,17232.19
Dec 2002,15940.112
Nov 2002,14614.037
Oct 2002,15227.775
Sep 2002,16442.288
Aug 2002,18596.805
Jul 2002,19084.674
Jun 2002,16666.712
May 2002,14509.129
Apr 2002,13795.073
Mar 2002,14961.074
Feb 2002,13652.698
Jan 2002,14564.077
Dec 2001,15023.311
Nov 2001,13907.406
Oct 2001,13841.541
Sep 2001,14281.396
Aug 2001,16994.651
Jul 2001,17030.114
Jun 2001,15410.728
May 2001,14604.71
Apr 2001,13320.173
Mar 2001,14882.22
Feb 2001,13913.663
Jan 2001,16039.369
